Headers,Chunk
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не заметили брак или дефект,"Если не поставите отметку о браке и вернёте бракованный товар на склад, часть выплаты удержат. По принципу коллективной ответственности 50% от стоимости товара снимут со всех, кто обрабатывал заказ."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не заметили брак или дефект. Как избежать вычета:,"Чтобы избежать вычета из-за брака, внимательно проверяйте товар перед выдачей и после примерки. - Если заметили дефект, сразу ставьте отметку в программе NPOS — так вы не попадёте под коллективную ответственность за брак. - Когда покупатель отказывается от товара из-за брака, обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Товар или коробка потерялись в ПВЗ или по пути на склад,"Если вы потеряете товар или коробку в пункте выдачи, отправите вещь на склад без штрихкода или товар не вернётся в сортировочный центр после возврата, программа посчитает это за недостачу. Из зарплаты удержат сумму в размере стоимости товара."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Товар или коробка потерялись в ПВЗ или по пути на склад. Как избежать вычета:,"Как избежать вычета за утерю товара: Работайте с товарами только под камерами видеонаблюдения. - Когда раскладываете новые заказы, следуйте указаниям голосового помощника — он подскажет, в какой ячейке разместить товар. - Аккуратно упаковывайте возвраты. Не отправляйте вещи в повреждённой упаковке, чтобы товар не потерялся в пути. Если штрихкод не читается, напишите его на бумаге и приклейте на упаковку, чтобы на складе могли идентифицировать товар"
"Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Товар или коробка потерялись в ПВЗ или по пути на склад. Что нужно, чтобы оспорить удержание:.","Если потерялся товар: приложите видео с камер наблюдения. На записи должно быть видно, как вы выдали товар и покупатель от него отказался, как вы отсканировали штрихкод, добавили товар в возвратную коробку и как водитель забрал возвраты. Подробно опишите все этапы работы с товаром и приложите скриншоты с камер видеонаблюдения, где хорошо видна вещь. - Если потерялась коробка: приложите видео с камер наблюдения. На записи должно быть видно, как вы принимаете коробки. Подробно опишите все этапы работы с коробками и приложите скриншоты с камер видеонаблюдения, где хорошо видны коробки. В тексте укажите номера соседних передач — коробок, которые водитель забирал вместе с утерянной."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не отправили возврат вовремя,"После того, как срок хранения заказа истечёт, менеджер должен отправить товар на склад в течение 3 дней. Если не сделаете это вовремя, из зарплаты удержат сумму в размере стоимости товара."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не отправили возврат вовремя. Как избежать вычета,"Работайте с товарами только под камерами видеонаблюдения. - Каждое утро проверяйте в рабочей программе, что нужно отправить на склад. - Проверяйте, отсканировался ли товар. Можно подключить команду голосового помощника «Вещь в коробке» — он будет подсказывать. - Убирайте товары в коробку с возвратами сразу после того, как отсканируете штрихкод, чтобы вещи не потерялись в пункте."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Покупатель подменил товар,"Если вы не заметите подмену и отправите на склад не тот товар, из зарплаты вычтут сумму в размере стоимости вещи."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Покупатель подменил товар. Как избежать вычета:,"Как избежать вычета за подмену товара: -Проверяйте товар под камерами видеонаблюдения перед тем, как выдать его покупателю. - Обязательно сверяйте вещь с карточкой товара, если покупатель отказывается от заказа после примерки. - Если заметили подмену, когда покупатель принёс возврат из дома, попросите его создать заявку на возврат через профиль на Wildberries. Как это сделать — читайте в инструкции «Как создать заявку на возврат в профиле покупателя». - Если заметили подмену перед тем, как выдать товар покупателю, отметьте товар как бракованный, сделайте пометку о неверном вложении и скриншот экрана, чтобы потом оспорить удержание."
"Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Покупатель подменил товар. Что нужно, чтобы оспорить удержание:","Если покупатель подменил товар, для того, чтобы оспорить вычет, вам понадобятся: - Запись с камер, где видно, как вы принимаете товар и выдаёте его покупателю. - Запись с камер, где видно, когда вы заметили подмену, просканировали товар в коробку, упаковали и передали водителю. - Подробное описание всех этапов работы с товаром и скриншоты с камер видеонаблюдения, где хорошо видна вещь."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не приняли товар или его не оказалось в коробке,"Если вы не примете товар из приходной коробки, из зарплаты удержат сумму в размере стоимости вещи. Если товара в коробке не оказалось, за это тоже начислят долг."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не приняли товар или его не оказалось в коробке. Как избежать вычета:,"Принимайте товары только под камерами видеонаблюдения. - Внимательно сканируйте каждый товар. Если не хватает целой коробки, сообщите об этом руководителю и расскажите о проблеме через Telegram-бот 911 Менеджеры МСК и МО https://t.me/WBManager_help_bot ."
"Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы не приняли товар или его не оказалось в коробке. Что нужно, чтобы оспорить удержание:","Если не хватает целой коробки, чтобы оспорить вычет нужны: запись с камер, где видно, как водитель выгружает коробки. - Если не хватает товара: запись с камер, где видно, как вы вскрываете и разбираете коробку, от первого до последнего товара."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы сделали пометку маркером или ручкой на товаре,"Если на товаре или на упаковке, которая входит в комплект, есть неустранимые загрязнения,  потому что вы сделали пометку маркером или ручкой на товаре, покупатель может вернуть заказ через заявку в профиле. В этом случае из выплаты менеджера удержат 50% от стоимости товара."
Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Вы сделали пометку маркером или ручкой на товаре. Как избежать вычета:,"Как избежать вычета за порчу товара: Не ставьте отметки маркером или ручкой на упаковке или самом товаре. Если нужно обозначить номер ячейки, пользуйтесь бумажными стикерами для заметок — такими, которые легко и без следов отклеиваются с поверхности. - Напоминайте покупателю, что нужно проверять товар под камерами до примерки и оплаты. - Не принимайте обычный возврат, если на товаре есть загрязнения. Такие вещи можно вернуть только с одобренной заявкой."
"Административные вопросы. Удержания: сколько и за что могут вычесть. За что могут удержать часть выплаты. Что нужно, чтобы оспорить удержание:","Чтобы оспорить вычет из-за загрязнения или порчи товара: -1. Откройте раздел «Обращения». 2. Выберите категорию «Вопросы по коллективной ответственности». 3. Выберите тему обращения «КО загрязненные товары». 4. Опишите ситуацию. В сообщении укажите штрихкод, стоимость товара и добавьте ссылку на Яндекс Диск с доказательствами: Добрый день! Пожалуйста, снимите депримирование «Брак загрязнение» в размере [добавить цену] рублей за ШК [добавить номер]. Когда товар привезли в пункт, на нём уже было [укажите вид загрязнения: пятно, след от косметики, пометка маркером]. Я поставил(а) отметку о браке, когда принимал(а) товар. Прикрепляю доказательства: видео, где я принимаю товар и работаю с покупателем, а также скриншот с отметкой «Брак». Ссылка на Яндекс Диск: [добавить ссылку]."
Работа с техникой. Сканер,В фирменных пунктах выдачи Wildberries используют один из этих сканеров:  - Zebra DS2278 - MERTECH - MINDEO
Работа с техникой. Сканер. Zebra DS2278,Сканер. Zebra DS2278 Руководство можно найти в этом документе:  https://shorturl.at/bYuIN
Работа с техникой. Сканер. MERTECH. Как подключить сканер через интернет:,"Чтобы подключить сканер MERTECH через интернет: -1. Подключите док-станцию от сканера к компьютеру. 2. Подключите к станции сетевой интернет-кабель. 3. Поставьте сканер в док-станцию, и он автоматически подключится к компьютеру."
Работа с техникой. Сканер. MERTECH. Как подключить сканер по Bluetooth:,"Чтобы подключить сканер MERTECH через Bluetooth: Чтобы подключить устройство, отсканируйте QR-код с флешки.  https://disk.yandex.ru/d/UEayXHNVIE-Czw"
Работа с техникой. Сканер. MINDEO. Как подключить сканер через интернет:,"Чтобы подключить сканер MINDEO через интернет: -1. Подключите станцию от сканера к персональному компьютеру. 2. Проверьте, что на базе загорелась лампочка. 3. Включите сканер: зажмите курок до характерного звука и включения лампочек."
"Работа с техникой. Сканер. MINDEO. Ошибки, с которыми вы можете столкнуться:","Сканер MINDEO автоматически настроен считывать ШК. Если произошел сбой и нужно сбросить настройки, отсканируйте управляющий штрихкод «Сброс до заводских настроек» со скриншота ниже:  https://disk.yandex.ru/d/8YrOYPQ9klgZzQ  — Если сканер не читает QR-коды, отсканируйте этот штрихкод:  https://disk.yandex.ru/d/qO7SynwS7KU4gw  — Если сканер не читает ШК, отсканируйте эти штрихкоды:  https://disk.yandex.ru/d/Rrm4WXISs1v7KQ  — Если сканер завис, перестал включаться или выключаться, нужно открутить крышку в нижней части сканера с помощью крестовой отвертки, вынуть батарейку, а затем вставить её обратно и прикрутить крышку. Если это не помогло, сообщите о проблеме своему руководителю."
Работа с техникой. Сканер. MINDEO. Как подключить сканер по Bluetooth:,Чтобы подключить сканер MINDEO через Bluetooth на планшете: 1. Отсканируйте штрихкод на картинке https://disk.yandex.ru/d/oZa8HAIqhqfaew 2. На планшете перейдите в раздел «Настройки Bluetooth». 3. Выберите сканер в списке доступных устройств.
Работа с техникой. Интернет и оборудование. Как настроить роутер,"Если в пункте выдачи есть роутер, подключите и настроите его самостоятельно или с помощью провайдера."
Работа с техникой. Интернет и оборудование. Как настроить роутер. Как удалить все соединения,"Чтобы удалить все старые подключения: -1. Нажмите на значок подключения в правом нижнем или верхнем углу экрана. Обычно он выглядит как две стрелочки или два монитора 2. Проверьте, что есть галочка в поле «Включить поддержку сети» 3. Нажмите «Изменить соединения» 4. В открывшемся окне выберите каждое соединение в списке и нажмите кнопку «-», чтобы удалить их все 5. Перезагрузите компьютер 6. После перезагрузки на компьютере появится одно соединение, и он автоматически получит IP-адрес"
Работа с техникой. Интернет и оборудование. Как настроить роутер. Внешний статический IP-адрес,"Как настроить роутер. Внешний статический IP-адрес.1. Удалите все соединения, как описано в инструкции выше 2. Нажмите кнопку «Добавить» или «+» 3. В появившемся окне выберите «Ethernet» и нажмите «Создать» 4. В разделе «Устройство» выберите «eth0». MAC-адрес будет указан в скобках 5. Перейдите на вкладку «Параметры IPv4» 6. В поле «Способ настройки» выберите «Вручную» вместо «Автоматически (DHCP)» 7. Нажмите кнопку «Добавить» справа от поля 8. Введите данные от вашего интернет-провайдера в поля «Адрес», «Маска» и «Шлюз» 9. В поле «Серверы DNS» введите 8.8.8.8 10. Нажмите «Сохранить» в правом нижнем углу окна 11. Подключите интернет-провод к компьютеру, и интернет должен появиться."
Работа с техникой. Интернет и оборудование. Как настроить роутер. PPPoE — подключение с логином и паролем,"PPPoE — подключение с логином и паролем.  1. Нажмите на значок подключения в правом нижнем или верхнем углу экрана. Обычно он выглядит как две стрелочки или два монитора 2. Проверьте, что есть галочка в поле «Включить поддержку сети» 3. Нажмите «Изменить соединения» 4. Нажмите «Добавить» или «+» 5. В открывшемся окне выберите «DSL» или «DSL/PPPoE» вместо «Ethernet» 6. Нажмите «Создать» 7. Введите имя пользователя и пароль, которые предоставил провайдер 8. Если есть поле «Родительский интерфейс», выберите «eth0» 9. На вкладке «Общий» или «Основное» установите галочку «Автоматически подключаться к этой сети, когда она доступна» 10. Если интернет не появился сразу, нажмите левой кнопкой мыши на значок подключения в правом нижнем или верхнем углу. В списке нажмите на «DSL» и нажмите на него — шрифт станет жирным. После этого интернет должен появиться 11. Если не помогло, перезагрузите компьютер"
Работа с техникой. Интернет и оборудование. Как настроить роутер. Dynamic — подключение с динамическим IP-адресом,"Dynamic — подключение с динамическим IP-адресом.Просто вставьте интернет-кабель в компьютер — интернет должен появиться автоматически, если вы не меняли настройки"
Работа с техникой. Интернет и оборудование. Как настроить роутер. Куда подключать интернет-кабель,"Подключите кабель интернет-провайдера в гнездо WAN, Internet или Ethernet. Обычно оно синего цвета. Интернет-кабель от компьютера нужно подключить к одному из гнёзд LAN."
Работа с техникой. Интернет и оборудование. Как настроить роутер. Как подключить интернет на планшете,"На планшете используйте Wi-Fi интернет. SSID и пароль от Wi-Fi указаны на нижней части роутера. Там же есть адрес, например, 192.168.1.1, 192.168.0.1 или router.asus.com. Перейдите по этому адресу, выберите тип соединения WAN и введите настройки, если они не автоматические. Эту информацию предоставляет провайдер."
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. NETIS,Настройка роутера Netis https://docs.google.com/document/d/1L1bzO_5SF6AHnxCx7zrHr-VtHbKEtwOyuYBcFub8eBQ/edit#heading=h.v6nd4een099a
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. ASUS,Настройка роутера ASUS  https://docs.google.com/document/d/1LrPu34EVSozrJ6suZLTwcQTgZgqULttM34v04yFhhr0/edit#heading=h.drjxa7ls1f3y
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. HUAWEI,Настройка роутера HUAWEI  https://docs.google.com/document/d/1QvreMLX9jdo2e0ea_XSMPzfpFPmncUVHA_BPvV475mg/edit#heading=h.trgtokopugrp
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. Xiaomi,Настройка роутера Xiaomi  https://docs.google.com/document/d/1Ar46zebcXMV8aZiOEbQBe9GP9GEnHy1HbRl-nBVYGzs/edit#heading=h.v6nd4een099a
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. D-Link,Настройка роутера D-Link с компьютера  https://docs.google.com/document/d/1FHOawou14m3FN6tbZPeCDj-RPf_YqC7Eq22Do5TN12A/edit#heading=h.v6nd4een099a
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. TP-Link,Настройка роутера TP-Link  https://docs.google.com/document/d/1MZ1--LGUhcu6CwGtiS9j2XD9_n88luvXTLgGW2EFaqg/edit
Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. Mikrotik,Mikrotik роутеры настраивают руководители филиалов. Менеджерам не нужно ничего делать
"Работа с техникой. Интернет и оборудование. Как настроить роутер. Инструкции для настройки роутеров по брендам. Mikrotik. Если информации недостаточно, посмотрите инструкции на других сайтах и видео на YouTube:","Если информации  для настройки роутера недостаточно, посмотрите инструкции на других сайтах и видео на YouTube: Asus:  https://youtu.be/XGpYGKkic0c?t=95  TP-Link:  https://help-wifi.ru/nastrojka-routerov/tp-link/nastrojka/  Huawei:  https://www.youtube.com/watch?v=rvaBCM_XIO4  Netis:  https://wifigid.ru/netis/nastrojka-routera-netis"
Работа с техникой. Видеонаблюдение. Как настроить регистратор на телефоне или планшете,"Чтобы настроить регистратор на телефоне или планшете: 1. Подключите жёсткий диск по инструкции 2. Подключите провод питания и патч-корд от роутера в отдельный порт LAN, а камеры — в порты POE 3. Подключитесь к Wi-Fi. Зажмите пальцем название сети и выберите «Изменить сеть» или нажмите символ в виде карандаша в правом верхнем углу 4. Поставьте галочку в строке «Дополнительно» 5. Нажмите «Настройки IP» и выберите «Статический IP» или «Пользовательские» — откроются настройки статического IP 6. Введите данные в поля:  - IP-адрес: 192.168.1.2 - Шлюз: 192.168.1.1 - DNS 1: 8.8.8.8  7. Нажмите «Сохранить» 8. Во всплывающем окне «У этой сети Wi-Fi нет доступа в Интернет. Подключиться?» нажмите «Подключить» 9. Не обращайте внимание на статус подключения «Подключено (нет доступа в Интернет)» — так должно быть на этом этапе 10. Откройте браузер на планшете или телефоне и введите в адресную строку заводской IP адрес регистратора: 192.168.1.108 11. В поле «Регион» выберите «Russia - Россия», в поле «Язык» — «Русский», в поле «Стандарт видео» оставьте «PAL» 12. Поставьте галочку в строке «Я прочитал и согласен со всеми условиями» и нажмите «Следующий» 13. Выберите ваш часовой пояс и нажмите «Следующий» 14. В строке «Имя пользователя» оставьте admin. Введите в поле «Пароль» и «Подтверждение»: Video2021wb 15. Нажмите «Следующий» 16. Уберите все галочки и нажмите «Oк» 17. Если до этого этапа вы сделали всё верно и не отключались от Wi-Fi, появится сообщение «Инициализация выполнена успешно» 18. В поле «Имя пользователя» введите admin. В поле пароль — Video2021wb 19. Нажмите «Вход» 20. Зайдите в «Настройки» и нажмите «Сеть» 21. Найдите в открывшемся окне IP-адрес регистратора 192.168.1.108 и нажмите на карандаш в столбце «Изменить», как на скриншоте ниже. Если не видно карандаша, сдвиньте страницу в правый верхний угол 22. В поле «Режим» выберите «DHCP» и нажмите «Oк» 23. Если в правом нижнем углу, как на скриншоте ниже, не видно второй кнопки «Ок», сдвиньте страницу правее и нажмите «Ок». После этого эта кнопка станет неактивной, а страница — недоступна. Так и должно быть 24. Снова зайдите в настройки Wi-Fi. Зажмите пальцем название сети и выберите «Изменить сеть» или нажмите символ в виде карандаша в правом верхнем углу 25. В поле «Настройки IP» смените значение на «Динамический». 26. Нажмите «Сохранить», а потом «Подключиться». 27. Когда всё настроили, напишите в техническую поддержку по адресу: helpdesk.wb.pvz@yandex.ru"
Работа с техникой. Видеонаблюдение. Как настроить регистратор на телефоне или планшете. Шаблон сообщения,"Шаблон сообщения в техническую поддержку для настройки регистратора на телефоне или планшете.  Добрый день! В ПВЗ по адресу [укажите адрес] настроили регистратор [укажите серийный номер регистратора] через [укажите телефон или планшет]. Пожалуйста, проверьте. [Контакты для связи в Telegram, например @ivаnоv_ivаn или t.me/ivаnоv_ivаn]"
Работа с техникой. Видеонаблюдение. Как установить приложение DMSS,Чтобы установить приложение DMSS: -Скачайте приложение на телефон по этой ссылке https://www.dahuatech.com/download/detect.html  Регистрироваться в приложении не нужно. Сразу добавьте устройство и следуйте инструкции
Работа с техникой. Видеонаблюдение. Как установить приложение DMSS. Как подключиться к камерам,"Чтобы подключиться к видеонаблюдению, скачайте приложениe DMSS, нажмите на + в правом углу и отсканируйте QR-код с регистратора. Имя пользователя и пароль уточните у руководителя."
Работа с техникой. Видеонаблюдение. Как настроить регистратор на компьютере,"Как настроить регистратор на компьютере: 1. Если в вашем ПВЗ меняли сервер на регистратор, не переключайте провода от камер из коммутатора в регистратор, пока об этом не попросит руководитель филиала. 2. Подключите жёсткий диск по инструкции 3. Подключите провод питания, монитор через VGA или HDMI кабель, мышку и патч-корд от роутера в отдельный порт LAN 4. В поле «Регион» выберите «Russia - Россия», в поле «Язык» — «Русский», в поле «Стандарт видео» оставьте «PAL» 5. Поставьте галочку в строке «Я прочитал и согласен со всеми условиями» и нажмите «Следующий» 6. Заполните поля 7. Нарисуйте графический ключ по примеру ниже 8. Выключите переключатель в строках «Зарег. адрес эл. почты» и «Вопрос безопасности» и нажмите «Следующее» 9. Нажмите на значок карандаша, включите режим DHCP и нажмите «Ок» 10. Нажмите «Следующее» 11. В этом окне вы видите подключенные камеры. В примере на фотографии ниже подключены 4 камеры. Нажмите «Следующее» 12. В следующем окне нажмите «Ок» 13. Когда всё настроите, напишите в техническую поддержку по адресу helpdesk.wb.pvz@yandex.ru"
Работа с техникой. Видеонаблюдение. Как настроить регистратор на компьютере. Шаблон сообщения,"Шаблон сообщения в техническую поддержку для настройки регистратора на компьютере: Добрый день! В ПВЗ по адресу [укажите адрес] настроили регистратор [укажите серийный номер регистратора] через компьютер. Пожалуйста, проверьте. [Контакты для связи в Telegram, например @ivаnоv_ivаn или t.me/ivаnоv_ivаn]"
Работа с техникой. Видеонаблюдение. Как смотреть и сохранять записи на компьютере,Как смотреть и сохранять записи на компьютере: Подключите USB-флешку или внешний жёсткий диск к регистратору. Затем в разделе архива выберите нужный отрезок видео с помощью инструмента «Ножницы» и сохраните его
Работа с техникой. Компьютер и оргтехника. Как использовать источник бесперебойного питания (ИБП),"Как использовать источник бесперебойного питания (ИБП): - В ИБП должно быть следующее оборудование: - Интернет-роутер - Видеосервер или видеорегистратор - Коммутатор для камер, если у вас есть видеосервер - Основной компьютер и монитор  Не подключайте к ИБП принтеры, зарядки для телефона, чайники, холодильники, обогреватели и другую бытовую технику. Для таких устройств используйте в обычные розетки"
Работа с техникой. Компьютер и оргтехника. Как использовать источник бесперебойного питания (ИБП). Если ИБП начал издавать звуковые сигналы,"Если ИБП начал издавать звуковые сигналы: 1. Отключите от ИБП все устройства и подключите их к обычным розеткам или сетевым фильтрам 2. Выключите ИБП из розетки на 20 минут 3. Через 20 минут подключите ИБП обратно к розетке, но не нажимайте кнопку включения и не подключайте к нему другие устройства 4. Оставьте ИБП в таком состоянии на 1 час, чтобы аккумуляторы зарядились 5. После нажмите и удерживайте кнопку включения на ИБП 6. Подключите к ИБП все устройства"
Работа с техникой. Компьютер и оргтехника. Как посмотреть IP-адрес компьютера на Linux (Ubuntu),"Как посмотреть IP-адрес компьютера на Linux (Ubuntu): 1. На клавиатуре одновременно зажмите клавиши CTRL+ALT+T, чтобы открыть терминал. 2. В окне терминала введите команду ifconfig и нажмите клавишу Enter. 3. IP-адрес компьютера отобразится в виде числовой последовательности. Обычно IP-адрес выглядит как 10.x.x.x или 192.168.x.x.  Примеры IP-адресов:  - 10.66.99.254 - 10.101.45.4 - 192.168.50.15 - 192.168.3.45"
Работа с техникой. Компьютер и оргтехника. Как добавить принтер на Linux,"Как добавить принтер на Linux: -1. Подключите принтер к компьютеру через USB 2. Откройте меню: Пуск → Системные → Принтеры или Пуск → Настройки → Принтеры 3. Если в окне уже есть принтер, удалите его, а затем нажмите «Добавить» 4. Найдите в списке ваш принтер 5. Нажмите на устройство в списке, а затем Вперёд → Далее → Применить"
"Работа с техникой. Компьютер и оргтехника. Проблемы со звуком. Не работает звук, когда добавляете товары в коробку","Если нужно настроить звук, который не работает, когда добавляете товары в коробку: 1. Перейти в коробку 2. Поставить галочку над «Звуковыми уведомлениями»"
"Работа с техникой. Компьютер и оргтехника. Проблемы со звуком. Звук работает везде, кроме браузера","Звук работает везде, кроме браузера: 1. Откройте браузер и перейдите в правый верхний угол экрана 2. Откройте настройки. Обычно кнопка, которая ведёт в этот раздел, выглядит как три точки или три полоски 3. В выпадающем меню выберите пункт «Настройки» 4. Перейдите в раздел «Конфиденциальность и безопасность» 5. Пролистайте страницу вниз до раздела «Настройки сайтов» и кликните на него 6. Перейдите в раздел «Дополнительные настройки контента» 7. Проверьте раздел «Звук». Если звук заблокирован, снимите блокировку"
Работа с техникой. Компьютер и оргтехника. Проблемы со звуком. Звук не работает нигде,"Звук не работает нигде:  1. Проверьте, не выключен ли звук на компьютере 2. Если кнопка звука на панели выглядит неактивной, нажмите на неё. Если не помогло: 1. Откройте меню 2. Перейдите в «Мультимедиа (Аудио)» 3. Затем выберите «Регулятор громкости PulseAudio (Микшер)» 4. Убедитесь, что во вкладке «Конфигурация» выбрали профиль «Аналоговый стерео дуплекс» 5. Проверьте устройство во вкладке «Устройства вывода». Если вы пользуетесь компьютером HP и звук играет с самого устройства, выберите «Динамики». Если подключены колонки, выберите соответствующее устройство, например, «Аналоговые наушники». 6. Во вкладке «Проигрывание» в правом нижнем углу окна выберите «All Streams»."
Работа с техникой. Чёрный экран после загрузки Linux,"Чёрный экран после загрузки Linux: 1. Перезагрузите или включите компьютер, если он выключен 2. Когда нажмёте на кнопку запуска, одновременно удерживайте клавишу Shift, чтобы попасть в «Загрузчик» 3. Если не получилось, перезагрузите компьютер ещё раз. Пока устройство загружается, нажимайте Shift несколько, пока не появится меню, описанное ниже 4. В открывшемся окне выберите «Дополнительные параметры для Ubuntu» и нажмите Enter 5. В следующем меню выберите пункт, который относится к ядру 4.15.0-192-generic, и нажмите Enter 6. Когда компьютер загрузится, откройте меню, перейдите в раздел «Интернет» и запустите приложение Anydesk 7. Запишите ID, который отображается в этой программе 8. Оправьте обращение в службу технической поддержки по адресу helpdesk.wb.pvz@yandex.ru  На клавиатуре 2 клавиши Shift Если ни одна из клавиш не реагирует, попробуйте клавишу Tab. Если клавиатура не работает, отключите все USB-устройства и попробуйте вставить клавиатуру в другой разъём"
