Question,Chunk,Hard negative
Что должно быть видно на камерах?,"Сверяйтесь с этим чек-листом в течение дня. Советуем приходить хотя бы за 30 минут до смены, чтобы спокойно подготовиться к открытию  1. Осмотрите пункт выдачи:  - Нет следов взлома или протечек - Сообщить руководителю, какие коробки пришли, а какие — нет - Проверить оборудование: всё должно работать  2. Осмотрите стол менеджера:  - На столе чисто: нет мусора и личных вещей - Нет следов скотча и маркера - Есть ножницы, канцелярский нож, маркеры, скотч и возвратные наклейки - Есть пакеты всех 4 размеров: большой, средний, маленький и пакет-майка - Провода лежат аккуратно, не путаются  3. Откройте рабочую программу:  - Убедиться, что интернет работает - Войти в NPOS  Если не знаете пароль от компьютера или WiFi, обратитесь к руководителю  4. Проверьте камеры:  - Видеонаблюдение работает: есть онлайн-трансляция в разделе «Видеонаблюдение» или в программе DMSS - На камерах видно основные зоны: клиентскую и склад  5. Примите товары:  - Проверить, что адрес на коробках совпадает с адресом ПВЗ - Принять и разобрать коробки - Разложить товары из приходных коробок по ячейкам - Вернуться в раздел «Приёмка» и нажать на кнопку «Разбор окончен»  Принимайте и разбирайте коробки только под камерой видеонаблюдения  Нельзя принять больше 10 коробок одновременно. Отсканируйте первые 10 коробок, разберите их, а потом переходите к следующим 10 коробкам  6. Соберите возвраты:  - Создать возвратную коробку - Добавить в коробку отказные и невостребованные товары  7. Напишите руководителю:  - Сообщить, что пункт готов к работе - Рассказать о проблемах, если они есть  8. Откройте пункт и начните выдавать заказы:  - Проверять товар на брак под камерами вместе с покупателем перед примеркой - После примерки проверять, что товар не подменили и не испортили внешний вид - Сверять штрихкоды на пакетах, чтобы не перепутать товары между собой - Если брак есть, сразу отмечать его в программе - Если брак на неотказном или невозвратном товаре, помочь покупателю с заявкой на возврат - Озвучивать покупателю количество товаров и общую сумму перед оплатой - Проверять, что деньги списались  Сейчас заказы часто оплачивают через WB Кошелёк. Спросите у покупателя, есть ли на счёте деньги, прежде чем списать оплату  9. Если нужно на перерыв, повесьте на дверь табличку с номером телефона менеджера, временем начала и окончания перерыва  За рабочий день можно сделать 4 перерыва. Каждый — не больше 15 минут  10. Перед закрытием выдайте последний заказ и подготовьте возвраты:  - Закрыть последний заказ в программе - Собрать отказы, возвраты и невостребованные товары - Отправить отказы клиентов после примерки и возвраты из дома в тот же день - Проверить вкладку «Вещи в офисе». В ней должны отображаться только неизвестные товары: с 2 штрихкодами, ишлишки и пересорт  Товары, которые доставили в пункт по ошибке, отправляйте на склад вместе с обычными возвратами  11. Приведите в порядок ПВЗ:  - Прибраться в клиентской зоне и на складе - Оставить несколько пустых коробок под возвраты на завтра - Порезать остальные коробки и создать для картона возвратную коробку в программе - Закрыть возвратные коробки в программе - Поставить коробки с картоном и возвратами под камерой  12. Осмотрите и закройте пункт:  - Нет протечек, замыкания или других проблем - Выключить свет - Закрыть дверь","Удержать выплаты могут за: -Проблемы с дисциплиной: если опаздываете, уходите раньше, прогуливаете без уважительной причины, не соблюдаете чистоту и порядок в пункте, грубо общаетесь с покупателями, неопрятно выглядите. - Ущерб компании: если умышленно портите товары или ценности в пункте выдачи. - Низкие показатели: если у вас плохой рейтинг, вы нарушаете сроки приёмки."
Как часто нужно мыть стеллажи?,"Проводите влажную и сухую уборку каждый день, чтобы поддерживать чистоту.  Что сделать:  - Оттереть следы на полу, дверях, стенах, мебели,стеллажах и в примерочных - Убрать жвачки, скотч и другую налипшую грязь с пола, стола и поверхностей - Протереть все горизонтальные поверхности: верх примерочных, светильники, вывески - Протереть зеркала - Подмести пол, в том числе под столами, стеллажами, пуфиками и урнами - Протереть влажной тряпкой пол, в том числе под столами, стеллажами, пуфиками и урнами - Вынести мусор","Чтобы избежать вычета из-за брака, внимательно проверяйте товар перед выдачей и после примерки. - Если заметили дефект, сразу ставьте отметку в программе NPOS — так вы не попадёте под коллективную ответственность за брак. - Когда покупатель отказывается от товара из-за брака, обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад."
"Что делать, если клиент получил товар с дефектом?","В заказе может оказаться вещь с браком или дефектом. Чтобы вернуть такой товар после получения в пункте выдачи, покупателю нужно создать заявку через профиль в мобильной версии сайта или в приложении Wildberries.  С 4 апреля 2024 года оформить заявку на проверку товара можно в течение 1 года после покупки.","Если вы потеряете товар или коробку в пункте выдачи, отправите вещь на склад без штрихкода или товар не вернётся в сортировочный центр после возврата, программа посчитает это за недостачу. Из зарплаты удержат сумму в размере стоимости товара."
"Куда нужно обратиться, если есть претензия по нехватке товара?","Если недостача произошла не по вашей вине, оспорьте вычет через «Заявку на оспаривание» в программе NPOS. В форме есть поле «Назначить на ревизию» — из выпадающего списка нужно выбрать склад или сортировочный центр (СЦ), где будут разбираться в ситуации.  Задача менеджера — по истории штрихкода правильно определить место, где товар сканировали в последний раз. Ниже рассказываем, как это сделать.  Чтобы правильно выбрать склад или СЦ, ориентируйтесь на историю перемещений товара: вещь могут подменить, не принять на складе или потерять в пути.","После того, как срок хранения заказа истечёт, менеджер должен отправить товар на склад в течение 3 дней. Если не сделаете это вовремя, из зарплаты удержат сумму в размере стоимости товара."
"Что делать, если на компе нет звука?","Звук не работает нигде:  1. Проверьте, не выключен ли звук на компьютере 2. Если кнопка звука на панели выглядит неактивной, нажмите на неё. Если не помогло: 1. Откройте меню 2. Перейдите в «Мультимедиа (Аудио)» 3. Затем выберите «Регулятор громкости PulseAudio (Микшер)» 4. Убедитесь, что во вкладке «Конфигурация» выбрали профиль «Аналоговый стерео дуплекс» 5. Проверьте устройство во вкладке «Устройства вывода». Если вы пользуетесь компьютером HP и звук играет с самого устройства, выберите «Динамики». Если подключены колонки, выберите соответствующее устройство, например, «Аналоговые наушники». 6. Во вкладке «Проигрывание» в правом нижнем углу окна выберите «All Streams».","Работайте с товарами только под камерами видеонаблюдения. - Каждое утро проверяйте в рабочей программе, что нужно отправить на склад. - Проверяйте, отсканировался ли товар. Можно подключить команду голосового помощника «Вещь в коробке» — он будет подсказывать. - Убирайте товары в коробку с возвратами сразу после того, как отсканируете штрихкод, чтобы вещи не потерялись в пункте."
"Как быть, если посылка слишком большая для ячейки?","Если товар крупногабаритный (КГТ), не помещается в ячейку, можно создать для него виртуальную полку с номером в программе:  1. Откройте раздел «Вещи в офисе» → Места хранения → Печать ШК полок 2. Распечатайте ШК, если есть принтер, или сохраните штрихкод на планшете 3. Найдите подходящее место на складе и поставьте там упаковку с КГТ","Если покупатель подменил товар, для того, чтобы оспорить вычет, вам понадобятся: - Запись с камер, где видно, как вы принимаете товар и выдаёте его покупателю. - Запись с камер, где видно, когда вы заметили подмену, просканировали товар в коробку, упаковали и передали водителю. - Подробное описание всех этапов работы с товаром и скриншоты с камер видеонаблюдения, где хорошо видна вещь."
Как нужно задокументировать получение ювелирных изделий?,"Ювелирные изделия доставляют в сейф-пакете — его может вскрыть только менеджер. - Чтобы выдать ювелирное изделие, покажите под камерой, что пломба не повреждена и крепко держится на украшении. - Предупредите покупателя, что снимать и повреждать пломбу до покупки нельзя, а осматривать и примерять ювелирные изделия можно только под камерами. - Брать ювелирные изделия в примерочную запрещено. - Если в заказе есть другие товары, отложите ювелирное изделие на столе менеджера и отдайте его покупателю после того, как он выйдет из примерочной.","Если вы не примете товар из приходной коробки, из зарплаты удержат сумму в размере стоимости вещи. Если товара в коробке не оказалось, за это тоже начислят долг."
Где можно найти подробную инструкцию по возврату в программе NPOS?,"В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  ","Если не хватает целой коробки, чтобы оспорить вычет нужны: запись с камер, где видно, как водитель выгружает коробки. - Если не хватает товара: запись с камер, где видно, как вы вскрываете и разбираете коробку, от первого до последнего товара."
Как оформляется возврат в NPOS / OFFLINE?,"В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  ","Если на товаре или на упаковке, которая входит в комплект, есть неустранимые загрязнения,  потому что вы сделали пометку маркером или ручкой на товаре, покупатель может вернуть заказ через заявку в профиле. В этом случае из выплаты менеджера удержат 50% от стоимости товара."
Как получить правильный штрихкод для товара без штрихкода?,"На товаре нет штрихкода при приемке: Способ 1  1. Если на товаре есть баркод, откройте раздел «Движение вещей» 2. Пикните баркод вещи — в программе отобразится приходная коробка и штрихкод товара  Способ 2  1. Запишите данные коробки, в которой был товар 2. Когда завершите приёмку, создайте обращение 3. Укажите номер коробки и баркод вещи — КЦ пришлют правильный штрихкод  Способ 3  1. После того как приняли и разложили все товары, откройте раздел «Движение вещей» 2. Выберите нужную дату: в окне отобразится операция «Завершение приёмки коробки» 3. Скопируйте номер из столбца «ШК / Стикер» 4. Перейдите в раздел «История ШК» и вставьте номер в пустое поле 5. Сравните вещь с карточкой товара. Если совпадает, примите товар вручную и напишите ШК на пакете. Если нет, напишите руководителю или в поддержку",В фирменных пунктах выдачи Wildberries используют один из этих сканеров:  - Zebra DS2278 - MERTECH - MINDEO
"А что делать, если клиент хочет вернуть товар, который нельзя возвращать?","Невозвратный товар надлежащего качества нельзя вернуть или обменять после покупки, но от него можно отказаться при получении.  Такие условия связаны с особыми требованиями к безопасности, гигиеническими стандартами или техническими характеристиками. ","Чтобы подключить сканер MERTECH через интернет: -1. Подключите док-станцию от сканера к компьютеру. 2. Подключите к станции сетевой интернет-кабель. 3. Поставьте сканер в док-станцию, и он автоматически подключится к компьютеру."
"К кому обратиться, если проблемы с камерами?","Если пропала прямая трансляция, проблемы с камерами, напишите об этом в техническую поддержку. Отправьте письмо с темой «Видеонаблюдение» на адрес helpdesk.wb.pvz@yandex.ru. В обращении укажите:  - ваши данные (ФИО, ID менеджера, ID ПВЗ); - адрес ПВЗ; - марку роутера и оборудования для видеонаблюдения; - контакты для связи в Telegram; - краткое описание проблемы.","Чтобы подключить сканер MINDEO через интернет: -1. Подключите станцию от сканера к персональному компьютеру. 2. Проверьте, что на базе загорелась лампочка. 3. Включите сканер: зажмите курок до характерного звука и включения лампочек."
Как мы должны оформлять возврат товара в системе?,"В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат в системе: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  ","Если в пункте выдачи есть роутер, подключите и настроите его самостоятельно или с помощью провайдера."
"Что делать, если покупатель принес товар обратно, а там что-то не то?","Если при возврате вы обнаружите брак или дефект, вежливо попросите покупателя создать заявку на брак через профиль в приложении или на сайте WB.  Без заявки принимать возврат нельзя: за это из зарплаты вычтут стоимость товара  - Предложите покупателю помощь с заявкой. Подробная инструкция есть в разделе «Как создать заявку на возврат в профиле покупателя». - Если покупатель уже создал заявку на брак, найдите его профиль в системе по ШК товара или номеру телефона. - Нажмите на кнопку «Заявки на товар по браку» в правом верхнем углу. В этом разделе отображаются заявки и их статус: «Отклонено», «На рассмотрении» или «Одобрено». - Изучите содержание заявки: проверьте, по какой причине покупатель хочет вернуть товар и соответствует ли вещь этому описанию. - Если всё в порядке, нажмите на кнопку «Выполнить возврат». - Предупредите покупателя, что возврат денег может занять до 7 календарных дней. Подробности — на сайте WB.","Как настроить роутер. Внешний статический IP-адрес.1. Удалите все соединения, как описано в инструкции выше 2. Нажмите кнопку «Добавить» или «+» 3. В появившемся окне выберите «Ethernet» и нажмите «Создать» 4. В разделе «Устройство» выберите «eth0». MAC-адрес будет указан в скобках 5. Перейдите на вкладку «Параметры IPv4» 6. В поле «Способ настройки» выберите «Вручную» вместо «Автоматически (DHCP)» 7. Нажмите кнопку «Добавить» справа от поля 8. Введите данные от вашего интернет-провайдера в поля «Адрес», «Маска» и «Шлюз» 9. В поле «Серверы DNS» введите 8.8.8.8 10. Нажмите «Сохранить» в правом нижнем углу окна 11. Подключите интернет-провод к компьютеру, и интернет должен появиться."
"Что можно узнать о товаре, если он был отправлен в коробку с возвратом?","В разделе «Движение вещей» можно посмотреть движение всех товаров за день в ПВЗ. Введите ШК товара в строку поиска, чтобы проверить:  - когда и во сколько приняли товар; - в какой коробке товар поступил в ПВЗ; - выкупили товар или отказались от него; - в какую коробку с возвратом добавили товар; - перемещали ли товар с ячейки на ячейку или полку.","Подключите кабель интернет-провайдера в гнездо WAN, Internet или Ethernet. Обычно оно синего цвета. Интернет-кабель от компьютера нужно подключить к одному из гнёзд LAN."
"Как посмотреть, сколько мы заработали за конкретный день?","Во вкладке «Заработок» вы можете следить за состоянием личного счёта: посмотреть общую сумму заработка, узнать, за какие операции начисляли вознаграждение, и проверить недостачи.  Рядом с общей суммой на вкладке «Заработок» есть кнопка «Посмотреть по дням» — нажмите на неё, чтобы узнать более подробную информацию о начислениях и продуктивности за интересующую дату.",Настройка роутера Netis https://docs.google.com/document/d/1L1bzO_5SF6AHnxCx7zrHr-VtHbKEtwOyuYBcFub8eBQ/edit#heading=h.v6nd4een099a
Как нужно проверять возвращаемые товары категории домашняя одежда?,"В категорию Домашняя одежда, нижнее и постельное бельё входят нижнее бельё, купальники, чулки, колготки, пижамы, халаты и постельное бельё. Вещи из этой категории можно примерять, только если об этом сказано в карточке товара. Покупатель может отказаться от такого товара после примерки в ПВЗ. Обязательно проверьте, что товар вернули в том же состоянии: со всеми бирками и упаковкой. - Если есть брак, нужно создать заявку на проверку товара в профиле покупателя.",Настройка роутера HUAWEI  https://docs.google.com/document/d/1QvreMLX9jdo2e0ea_XSMPzfpFPmncUVHA_BPvV475mg/edit#heading=h.trgtokopugrp
"Как быть, если клиент приносит назад товар с дефектом, а у него заявка уже одобрена?","Чтобы принять возврат с заявкой по браку: 1. В окне покупок за последние 14 дней в правом верхнем углу появится раздел «Заявки на возврат по браку»: перейдите туда и проверьте статус заявки. 2. Проверьте причину возврата и убедитесь, что дефект соответствует тому, что клиент описал в заявке. 3. Внимательно осмотрите товар. Важно, чтобы упаковка и бирки были на месте, а внешний вид, бренд, цвет и комплектация не отличались от информации в карточке товара. Если в комплекте было несколько вещей, а покупатель вернёт не всё, то это будет считаться недостачей. 4. Если заявку на возврат одобрили, нажмите на кнопку «Выполнить возврат». Если заявку отклонили, попросите покупателя создать новую.",Настройка роутера D-Link с компьютера  https://docs.google.com/document/d/1FHOawou14m3FN6tbZPeCDj-RPf_YqC7Eq22Do5TN12A/edit#heading=h.v6nd4een099a
"Что делать, если на товаре нет штрихкода?","На товаре нет штрихкода при приемке: Способ 1  1. Если на товаре есть баркод, откройте раздел «Движение вещей» 2. Пикните баркод вещи — в программе отобразится приходная коробка и штрихкод товара  Способ 2  1. Запишите данные коробки, в которой был товар 2. Когда завершите приёмку, создайте обращение 3. Укажите номер коробки и баркод вещи — КЦ пришлют правильный штрихкод  Способ 3  1. После того как приняли и разложили все товары, откройте раздел «Движение вещей» 2. Выберите нужную дату: в окне отобразится операция «Завершение приёмки коробки» 3. Скопируйте номер из столбца «ШК / Стикер» 4. Перейдите в раздел «История ШК» и вставьте номер в пустое поле 5. Сравните вещь с карточкой товара. Если совпадает, примите товар вручную и напишите ШК на пакете. Если нет, напишите руководителю или в поддержку","Если информации  для настройки роутера недостаточно, посмотрите инструкции на других сайтах и видео на YouTube: Asus:  https://youtu.be/XGpYGKkic0c?t=95  TP-Link:  https://help-wifi.ru/nastrojka-routerov/tp-link/nastrojka/  Huawei:  https://www.youtube.com/watch?v=rvaBCM_XIO4  Netis:  https://wifigid.ru/netis/nastrojka-routera-netis"
"Что делать, если отсканированный товар не совпадает с заказом клиента?","Нужно отсканировать товар, чтобы убедиться, что он действительно принадлежит покупателю.  Если товар не принадлежит покупателю, программа выдаст ошибку. Отложите этот товар в сторону, чтобы позже убрать его на правильную ячейку через вкладку «Вещи в офисе».  Затем вы попадёте в карточку покупателя, где можно увидеть наименование товара, количество, цену, размер, штрихкод и баркод.  После того как покупатель проверит товар, убедитесь, что сумма в правом верхнем углу и количество в левом верхнем углу верны. Затем уточните у покупателя, можно ли закрыть заказ, и проведите платеж — для этого нажмите на кнопку «Выдать товар». Деньги автоматически спишутся с банковской карты покупателя или из WB Кошелька.  ","Чтобы настроить регистратор на телефоне или планшете: 1. Подключите жёсткий диск по инструкции 2. Подключите провод питания и патч-корд от роутера в отдельный порт LAN, а камеры — в порты POE 3. Подключитесь к Wi-Fi. Зажмите пальцем название сети и выберите «Изменить сеть» или нажмите символ в виде карандаша в правом верхнем углу 4. Поставьте галочку в строке «Дополнительно» 5. Нажмите «Настройки IP» и выберите «Статический IP» или «Пользовательские» — откроются настройки статического IP 6. Введите данные в поля:  - IP-адрес: 192.168.1.2 - Шлюз: 192.168.1.1 - DNS 1: 8.8.8.8  7. Нажмите «Сохранить» 8. Во всплывающем окне «У этой сети Wi-Fi нет доступа в Интернет. Подключиться?» нажмите «Подключить» 9. Не обращайте внимание на статус подключения «Подключено (нет доступа в Интернет)» — так должно быть на этом этапе 10. Откройте браузер на планшете или телефоне и введите в адресную строку заводской IP адрес регистратора: 192.168.1.108 11. В поле «Регион» выберите «Russia - Россия», в поле «Язык» — «Русский», в поле «Стандарт видео» оставьте «PAL» 12. Поставьте галочку в строке «Я прочитал и согласен со всеми условиями» и нажмите «Следующий» 13. Выберите ваш часовой пояс и нажмите «Следующий» 14. В строке «Имя пользователя» оставьте admin. Введите в поле «Пароль» и «Подтверждение»: Video2021wb 15. Нажмите «Следующий» 16. Уберите все галочки и нажмите «Oк» 17. Если до этого этапа вы сделали всё верно и не отключались от Wi-Fi, появится сообщение «Инициализация выполнена успешно» 18. В поле «Имя пользователя» введите admin. В поле пароль — Video2021wb 19. Нажмите «Вход» 20. Зайдите в «Настройки» и нажмите «Сеть» 21. Найдите в открывшемся окне IP-адрес регистратора 192.168.1.108 и нажмите на карандаш в столбце «Изменить», как на скриншоте ниже. Если не видно карандаша, сдвиньте страницу в правый верхний угол 22. В поле «Режим» выберите «DHCP» и нажмите «Oк» 23. Если в правом нижнем углу, как на скриншоте ниже, не видно второй кнопки «Ок», сдвиньте страницу правее и нажмите «Ок». После этого эта кнопка станет неактивной, а страница — недоступна. Так и должно быть 24. Снова зайдите в настройки Wi-Fi. Зажмите пальцем название сети и выберите «Изменить сеть» или нажмите символ в виде карандаша в правом верхнем углу 25. В поле «Настройки IP» смените значение на «Динамический». 26. Нажмите «Сохранить», а потом «Подключиться». 27. Когда всё настроили, напишите в техническую поддержку по адресу: helpdesk.wb.pvz@yandex.ru"
"Как посмотреть, сколько бонусов начислили за прошлый месяц?",Во вкладке «Вознаграждения» хранится история операций. Можно посмотреть данные о бонусах за последние 3 месяца или выбрать конкретные даты и тип операции.,Чтобы установить приложение DMSS: -Скачайте приложение на телефон по этой ссылке https://www.dahuatech.com/download/detect.html  Регистрироваться в приложении не нужно. Сразу добавьте устройство и следуйте инструкции
А у нас есть лопаты?,"Какой инвентарь должен быть в ПЗ: - Лопата для чистки снега (кроме пунктов внутри ТЦ), - Ведро, - Швабра, - Щётка и совок, - Тряпки, - Ножницы.  Инвентарь заказывают перед открытием нового пункта выдачи. Если что-то из списка сломалось, сообщите руководителю","Шаблон сообщения в техническую поддержку для настройки регистратора на компьютере: Добрый день! В ПВЗ по адресу [укажите адрес] настроили регистратор [укажите серийный номер регистратора] через компьютер. Пожалуйста, проверьте. [Контакты для связи в Telegram, например @ivаnоv_ivаn или t.me/ivаnоv_ivаn]"
"Что делать, если с товара хотят удержать деньги из-за брака?","Чтобы избежать вычета из-за брака, внимательно проверяйте товар перед выдачей и после примерки. - Если заметили дефект, сразу ставьте отметку в программе NPOS — так вы не попадёте под коллективную ответственность за брак. - Когда покупатель отказывается от товара из-за брака, обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад.",Как смотреть и сохранять записи на компьютере: Подключите USB-флешку или внешний жёсткий диск к регистратору. Затем в разделе архива выберите нужный отрезок видео с помощью инструмента «Ножницы» и сохраните его
"Что делать, если возникли трудности?","Сохраняйте спокойствие в случае непредвиденной ситуации.Постарайтесь не нервничать и сконцентрироваться. Свяжитесь с руководителем. Как можно скорее сообщите о проблеме. Объясните, что случилось. Чётко и понятно передайте суть проблемы.","Если ИБП начал издавать звуковые сигналы: 1. Отключите от ИБП все устройства и подключите их к обычным розеткам или сетевым фильтрам 2. Выключите ИБП из розетки на 20 минут 3. Через 20 минут подключите ИБП обратно к розетке, но не нажимайте кнопку включения и не подключайте к нему другие устройства 4. Оставьте ИБП в таком состоянии на 1 час, чтобы аккумуляторы зарядились 5. После нажмите и удерживайте кнопку включения на ИБП 6. Подключите к ИБП все устройства"
